Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
14,Chris Kreider,32,NYR,LW,62,31,26,57,20,20,7.4,17,12,2,5,17,8,1,195,15.9,1176,18:58,16,80,30,52,36.6,kreidch01
15,J.T. Miller,30,VAN,C,64,31,53,84,27,47,9.6,20,9,2,7,29,24,0,149,20.8,1259,19:41,47,172,648,520,55.5,millejt01
16,Mikko Rantanen,27,COL,RW,64,31,52,83,11,40,8.6,20,11,0,7,29,23,0,212,14.6,1480,23:08,40,44,215,193,52.7,rantami01
17,Filip Forsberg,29,NSH,C,63,30,34,64,12,36,7.6,24,6,0,7,20,14,0,252,11.9,1192,18:55,32,119,11,8,57.9,forsbfi01
18,Elias Pettersson,25,VAN,C,64,30,46,76,15,8,8.3,20,10,0,9,28,16,2,170,17.6,1255,19:37,52,96,291,292,49.9,petteel01
19,Carter Verhaeghe,28,FLA,C,63,30,34,64,20,24,8.2,22,8,0,7,23,11,0,205,14.6,1132,17:58,17,42,30,40,42.9,verhaca01
20,Kirill Kaprizov,26,MIN,LW,55,29,37,66,6,26,7.4,19,10,0,7,17,20,0,195,14.9,1160,21:05,32,37,0,1,0.0,kapriki01
21,Frank Vatrano,29,ANA,LW,62,29,20,49,-17,69,5.1,16,11,2,7,13,6,1,191,15.2,1138,18:22,64,121,6,12,33.3,vatrafr01
22,Joel Eriksson Ek,27,MIN,C,62,28,27,55,13,50,6.3,15,12,1,4,21,6,0,224,12.5,1282,20:40,44,145,640,661,49.2,eriksjo02
23,Brock Nelson,32,NYI,C,61,28,23,51,-7,18,5.6,19,8,1,1,15,8,0,201,13.9,1088,17:50,33,28,295,341,46.4,nelsobr01
24,Travis Konecny,26,PHI,C,57,27,27,54,15,57,6.9,19,3,5,4,23,3,1,188,14.4,1134,19:54,16,52,21,35,37.5,konectr01
25,Jared McCann,27,SEA,C,61,27,25,52,1,23,6.2,16,9,2,3,16,9,0,160,16.9,1012,16:36,18,37,95,93,50.5,mccanja01
26,Kyle Connor,27,WPG,LW,45,26,18,44,-3,2,5.2,22,4,0,8,7,11,0,159,16.4,904,20:05,14,13,1,5,16.7,connoky01
27,Dylan Larkin,27,DET,C,55,26,28,54,-3,39,5.8,14,10,2,4,17,11,0,166,15.7,1092,19:52,23,32,548,454,54.7,larkidy01
28,Brad Marchand,35,BOS,LW,64,26,28,54,2,62,5.7,17,7,2,6,13,15,0,173,15.0,1243,19:25,26,82,21,26,44.7,marchbr03
29,Brady Tkachuk,24,OTT,LW,59,26,24,50,-5,106,5.2,19,7,0,0,19,5,0,251,10.4,1105,18:44,27,199,126,104,54.8,tkachbr01
30,Tyler Toffoli,31,NJD,C,61,26,18,44,-15,12,4.7,18,8,0,2,12,6,0,179,14.5,1070,17:32,8,62,25,39,39.1,toffoty01
31,Blake Coleman,32,CGY,C,61,25,22,47,24,70,6.1,19,2,4,4,20,0,2,144,17.4,1043,17:06,45,96,21,31,40.4,colembl01
32,Roope Hintz,27,DAL,LW,62,25,28,53,21,20,6.3,17,5,3,6,19,8,1,135,18.5,1069,17:15,27,27,256,205,55.5,hintzro01
33,Nick Suzuki,24,MTL,C,62,25,36,61,-15,22,5.8,16,9,0,1,17,19,0,145,17.2,1316,21:13,29,58,528,456,53.7,suzukni01
34,Sebastian Aho,26,CAR,F,58,24,40,64,13,20,7.2,17,6,1,7,20,19,1,166,14.5,1134,19:33,11,34,401,350,53.4,ahose01
35,Pavel Buchnevich,28,STL,LW,60,24,24,48,8,40,5.6,15,7,2,5,20,3,1,160,15.0,1193,19:53,20,35,12,39,23.5,buchnpa01
36,Bo Horvat,28,NYI,C,60,24,29,53,2,29,5.5,16,8,0,5,21,7,1,188,12.8,1198,19:58,32,51,579,508,53.3,horvabo01
37,Mitch Marner,26,TOR,RW,61,24,51,75,20,16,8.0,17,6,1,2,34,17,0,142,16.9,1302,21:20,46,54,2,10,16.7,marnemi01
38,Trevor Moore,28,LAK,LW,61,24,19,43,7,22,5.2,20,2,2,4,15,4,0,194,12.4,1102,18:04,40,61,12,26,31.6,mooretr01
39,Steven Stamkos,33,TBL,C,60,24,28,52,-24,26,4.8,12,12,0,4,12,16,0,185,13.0,1110,18:30,31,60,258,228,53.1,stamkst01
40,Matt Boldy,22,MIN,LW,55,23,26,49,3,40,5.4,15,8,0,5,18,8,0,165,13.9,1013,18:25,21,25,24,39,38.1,boldyma01
41,Alex DeBrincat,26,DET,RW,62,23,31,54,1,32,5.7,13,10,0,1,23,8,0,169,13.6,1112,17:56,28,36,13,19,40.6,debrial01
42,Matt Duchene,33,DAL,C,62,23,33,56,13,14,6.1,17,6,0,7,26,7,0,131,17.6,1047,16:53,40,24,274,209,56.7,duchema01
43,Connor McDavid,27,EDM,C,58,23,76,99,27,28,10.5,17,5,1,3,49,27,0,198,11.6,1249,21:32,24,93,351,334,51.2,mcdavco01
44,Ryan OReilly,32,NSH,C,63,23,31,54,7,12,5.6,10,13,0,1,22,9,0,146,15.8,1249,19:50,47,24,645,544,54.2,oreilry01
45,Yegor Sharangovich,25,CGY,C,61,23,18,41,-13,6,4.0,17,3,3,4,10,5,3,129,17.8,1047,17:10,32,10,81,123,39.7,sharaye01
46,Jesper Bratt,25,NJD,W,62,22,42,64,-1,8,6.6,16,6,0,6,24,17,1,195,11.3,1191,19:12,27,50,6,11,35.3,brattje01
47,Jake Guentzel,29,PIT,C,50,22,30,52,9,14,5.9,18,4,0,2,21,9,0,185,11.9,1044,20:53,21,36,5,13,27.8,guentja01
48,Brandon Hagel,25,TBL,LW,63,22,38,60,0,63,6.0,21,1,0,1,33,5,0,150,14.7,1229,19:30,34,41,21,32,39.6,hagelbr01
49,Wyatt Johnston,20,DAL,C,64,22,26,48,4,28,4.9,18,2,2,2,20,6,0,161,13.7,1084,16:56,33,39,247,244,50.3,johnswy01
50,Nazem Kadri,33,CGY,C,61,22,32,54,4,27,5.7,17,5,0,3,25,7,0,196,11.2,1116,18:18,19,51,415,433,48.9,kadrina01
51,William Karlsson,31,VEG,C,50,22,21,43,9,20,5.1,16,5,1,2,14,7,0,130,16.9,894,17:53,36,23,398,325,55.0,karlswi01
52,Clayton Keller,25,ARI,C,58,22,30,52,-21,24,4.7,15,7,0,4,14,16,0,168,13.1,1112,19:10,25,15,26,33,44.1,kellecl01
53,Valeri Nichushkin,28,COL,RW,40,22,20,42,9,18,4.9,9,13,0,4,15,3,2,128,17.2,872,21:49,17,55,2,5,28.6,nichuva01
54,Dylan Strome,26,WSH,C,60,22,25,47,-14,18,4.5,17,5,0,4,15,10,0,127,17.3,1063,17:43,44,9,484,451,51.8,stromdy01
55,Owen Tippett,24,PHI,RW,59,22,16,38,-10,8,4.2,18,4,0,3,13,3,0,227,9.7,971,16:27,31,107,18,24,42.9,tippeow01
56,Vincent Trocheck,30,NYR,C,62,22,37,59,8,49,6.0,12,10,0,4,27,10,0,162,13.6,1330,21:27,61,139,685,462,59.7,trochvi01
57,Drake Batherson,25,OTT,C,60,21,24,45,-9,36,4.2,16,5,0,2,16,8,0,139,15.1,1057,17:37,28,76,37,53,41.1,bathedr01
58,Charlie Coyle,31,BOS,C,64,21,30,51,3,28,5.1,16,5,0,4,23,4,3,123,17.1,1164,18:11,43,93,613,570,51.8,coylech01
59,Jack Hughes,22,NJD,C,46,21,38,59,-12,12,6.0,14,7,0,4,19,19,0,221,9.5,959,20:51,22,9,118,199,37.2,hugheja03
60,Evander Kane,32,EDM,LW,59,21,15,36,-7,70,3.4,18,2,1,3,12,3,0,181,11.6,1014,17:11,24,198,28,34,45.2,kaneev01
61,Sean Monahan,29,TOT,C,62,21,23,44,-11,12,4.1,10,9,2,4,13,10,0,137,15.3,1134,18:17,29,24,521,420,55.4,monahse01
62,Joe Pavelski,39,DAL,C,64,21,30,51,3,20,5.0,12,9,0,3,24,6,0,158,13.3,1076,16:48,57,56,276,263,51.2,paveljo01
63,Jason Robertson,24,DAL,LW,64,21,40,61,13,18,6.2,15,6,0,2,26,14,0,183,11.5,1179,18:26,27,54,0,0,,roberja01
64,Matthew Tkachuk,26,FLA,LW,62,21,50,71,16,68,7.8,16,5,0,1,26,24,0,219,9.6,1161,18:44,22,105,3,5,37.5,tkachma01
65,Lawson Crouse,26,ARI,LW,61,20,13,33,-2,32,3.5,15,5,0,1,9,3,1,140,14.3,1039,17:02,44,134,25,49,33.8,crousla01
66,Nico Hischier,25,NJD,C,51,20,25,45,-1,10,4.8,14,5,1,2,19,6,0,133,15.0,974,19:06,30,29,549,412,57.1,hischni01
67,Jordan Kyrou,25,STL,C,62,20,28,48,-9,18,4.7,16,4,0,3,17,11,0,191,10.5,1140,18:23,26,20,2,5,28.6,kyroujo01
68,Anthony Mantha,29,WSH,RW,56,20,14,34,5,17,4.2,17,3,0,0,10,4,0,90,22.2,793,14:09,21,31,2,5,28.6,manthan01
69,Jake Neighbours,21,STL,LW,62,20,8,28,-13,13,2.8,13,7,0,1,4,4,0,118,16.9,946,15:16,38,102,6,15,28.6,neighja01
70,John-Jason Peterka,22,BUF,RW,63,20,18,38,5,14,4.4,18,2,0,3,16,2,0,169,11.8,997,15:50,18,15,3,12,20.0,peterjo01
71,Tyler Seguin,32,DAL,C,58,20,25,45,9,22,4.8,19,1,0,2,18,5,2,129,15.5,963,16:36,19,46,284,234,54.8,seguity01
72,Jeff Skinner,31,BUF,LW,55,20,20,40,-1,26,4.5,12,8,0,2,16,4,0,172,11.6,931,16:56,9,16,40,57,41.2,skinnje01
73,Robert Thomas,24,STL,C,62,20,49,69,11,38,7.2,15,4,1,2,32,15,2,128,15.6,1295,20:53,32,15,620,581,51.6,thomaro01
74,Mathew Barzal,26,NYI,C,60,19,46,65,0,32,6.1,14,5,0,4,29,17,0,185,10.3,1208,20:08,34,37,28,31,47.5,barzama01
75,Cole Caufield,23,MTL,RW,62,19,31,50,-4,16,4.7,11,8,0,6,20,11,0,236,8.1,1201,19:22,11,44,6,7,46.2,caufico01
76,Jack Eichel,27,VEG,C,43,19,25,44,0,10,4.6,12,7,0,4,17,7,1,178,10.7,882,20:31,40,20,286,356,44.5,eicheja01
77,Kevin Fiala,27,LAK,LW,61,19,36,55,-2,52,5.5,10,9,0,0,21,15,0,165,11.5,1085,17:47,21,46,8,23,25.8,fialake01
78,Nils Höglander,23,VAN,LW,62,19,9,28,14,45,3.7,19,0,0,4,9,0,0,93,20.4,720,11:37,16,63,0,0,,hoglani01
79,Seth Jarvis,21,CAR,C,61,19,29,48,6,12,4.9,10,8,1,4,22,6,1,134,14.2,1143,18:44,37,97,127,156,44.9,jarvise01
80,Boone Jenner,30,CBJ,C,47,19,10,29,-2,20,3.0,14,4,1,1,8,2,0,133,14.3,929,19:46,60,96,482,412,53.9,jennebo01
81,Adrian Kempe,27,LAK,LW,57,19,32,51,7,50,5.5,15,2,2,2,16,15,1,184,10.3,1071,18:47,22,81,2,7,22.2,kempead01
82,Martin Necas,25,CAR,C,56,19,24,43,-9,32,4.1,14,5,0,3,19,5,0,156,12.2,977,17:27,21,59,42,78,35.0,necasma01
83,Kyle Palmieri,32,NYI,RW,61,19,19,38,-14,24,3.3,11,8,0,4,10,9,0,157,12.1,1036,16:59,30,63,12,19,38.7,palmiky01
84,John Tavares,33,TOR,C,60,19,26,45,-3,14,4.2,12,7,0,4,18,8,0,213,8.9,1083,18:03,32,88,602,403,59.9,tavarjo01
85,Teuvo Teräväinen,29,CAR,F,61,19,21,40,10,10,4.5,10,8,1,3,13,6,2,108,17.6,1011,16:35,17,13,62,71,46.6,teravte01
86,Mika Zibanejad,30,NYR,C,61,19,35,54,14,30,5.6,8,9,2,2,20,14,1,149,12.8,1215,19:55,47,35,414,424,49.4,zibanmi01
87,Quinton Byfield,21,LAK,C,59,18,28,46,16,24,5.4,13,5,0,4,21,7,0,120,15.0,964,16:21,15,35,29,38,43.3,byfiequ01
88,Jason Dickinson,28,CHI,C,63,18,12,30,3,35,3.6,16,2,0,3,12,0,0,100,18.0,1049,16:39,54,105,486,493,49.6,dickija01
89,Nikolaj Ehlers,27,WPG,LW,61,18,25,43,21,21,5.0,18,0,0,5,21,4,0,175,10.3,984,16:07,28,20,3,9,25.0,ehlerni01
90,Joel Farabee,23,PHI,LW,63,18,27,45,0,35,4.7,16,2,0,2,22,5,0,147,12.2,1038,16:29,47,51,26,36,41.9,farabjo01
91,Claude Giroux,36,OTT,C,60,18,35,53,-4,22,4.6,15,2,1,1,23,11,1,145,12.4,1205,20:05,21,30,499,361,58.0,giroucl01
92,Adam Henrique,33,ANA,C,60,18,24,42,3,33,4.2,11,5,2,3,16,5,3,111,16.2,1055,17:35,57,59,482,429,52.9,henriad01
93,Anže Kopitar,36,LAK,C,61,18,33,51,6,6,5.2,10,7,1,4,20,11,2,106,17.0,1197,19:37,53,27,661,530,55.5,kopitan01
94,Alexis Lafrenière,22,NYR,LW,62,18,21,39,-4,24,3.7,16,2,0,5,18,3,0,166,10.8,1078,17:23,14,60,14,39,26.4,lafreal01
95,Evgeni Malkin,37,PIT,C,60,18,30,48,3,50,4.7,15,3,0,2,20,10,0,153,11.8,1132,18:52,30,20,280,290,49.1,malkiev01
96,Mason Marchment,28,DAL,F,63,18,28,46,19,42,5.1,13,5,0,2,24,4,0,113,15.9,939,14:54,24,87,3,5,37.5,marchma01
97,Nino Niederreiter,31,WPG,RW,61,18,14,32,13,32,3.8,15,3,0,3,13,1,0,143,12.6,918,15:03,36,87,20,20,50.0,niedeni01
98,Bryan Rust,31,PIT,RW,42,18,18,36,15,14,4.5,14,3,1,2,16,2,0,128,14.1,801,19:04,30,40,1,3,25.0,rustbr01
99,Mark Scheifele,30,WPG,C,55,18,37,55,19,30,5.9,13,5,0,2,27,10,0,119,15.1,1118,20:20,30,54,472,509,48.1,scheima01
100,Nick Schmaltz,27,ARI,C,59,18,21,39,-21,10,3.0,8,10,0,3,12,9,0,123,14.6,1130,19:09,35,14,139,178,43.8,schmani01
101,Tage Thompson,26,BUF,C,53,18,17,35,-13,26,3.3,10,6,2,2,11,6,0,188,9.6,963,18:11,20,55,258,316,44.9,thompta01
102,Connor Bedard,18,CHI,C,49,17,26,43,-36,16,3.5,15,2,0,2,15,11,0,143,11.9,950,19:23,20,36,157,247,38.9,bedarco01
103,Michael Carcone,27,ARI,F,54,17,6,23,-4,20,2.8,15,1,1,2,5,1,0,80,21.3,605,11:12,19,43,1,7,12.5,carcomi01
104,Cale Makar,25,COL,D,59,17,53,70,10,14,9.6,10,6,1,0,26,24,3,182,9.3,1471,24:56,110,30,0,0,,makarca01
105,Kirill Marchenko,23,CBJ,RW,59,17,15,32,1,10,3.2,10,7,0,1,12,3,0,147,11.6,959,16:15,35,38,23,48,32.4,marchki01
106,Mason McTavish,21,ANA,C,52,17,23,40,-17,74,3.5,12,4,1,3,18,4,1,117,14.5,858,16:31,30,49,373,330,53.1,mctavma01
107,Gustav Nyquist,34,NSH,RW,63,17,36,53,8,6,5.2,13,3,1,3,22,13,1,116,14.7,1108,17:35,35,30,13,18,41.9,nyquigu01
108,Alex Ovechkin,38,WSH,LW,57,17,28,45,-22,16,3.5,10,7,0,2,17,11,0,203,8.4,1097,19:15,16,117,0,2,0.0,ovechal01
109,Nick Paul,28,TBL,LW,63,17,15,32,-20,21,2.3,10,7,0,2,10,5,0,118,14.4,1091,17:19,32,76,380,323,54.1,paulni01
110,Lucas Raymond,21,DET,LW,62,17,34,51,-13,22,4.3,15,2,0,3,25,9,0,113,15.0,1078,17:23,19,52,1,4,20.0,raymolu01
111,Marco Rossi,22,MIN,C,62,17,16,33,-1,41,3.1,15,2,0,2,13,3,0,126,13.5,1017,16:24,28,23,244,310,44.0,rossima01
112,Brandon Saad,31,STL,LW,62,17,11,28,-12,16,2.6,12,5,0,4,11,0,0,100,17.0,965,15:34,13,14,6,12,33.3,saadbr01
113,Vladimir Tarasenko,32,OTT,RW,57,17,24,41,13,12,4.5,15,2,0,4,18,6,0,116,14.7,915,16:03,30,54,4,3,57.1,tarasvl01
114,Troy Terry,26,ANA,C,56,17,29,46,-4,20,4.3,14,3,0,5,22,7,0,131,13.0,1014,18:07,16,10,6,9,40.0,terrytr01
115,Alex Tuch,27,BUF,RW,56,17,23,40,0,34,4.0,14,2,1,6,17,6,0,141,12.1,1064,19:00,61,51,25,26,49.0,tuchal01
116,Oliver Bjorkstrand,28,SEA,RW,62,16,29,45,-13,6,3.9,10,6,0,3,17,12,0,152,10.5,1012,16:19,18,48,8,13,38.1,bjorkol01
117,Yegor Chinakhov,22,CBJ,RW,50,16,13,29,-2,6,3.0,15,1,0,3,12,1,0,107,15.0,765,15:18,27,42,1,12,7.7,chinaye01
118,Anthony Duclair,28,SJS,LW,56,16,11,27,-12,28,2.6,11,5,0,1,6,5,0,98,16.3,906,16:10,28,35,12,21,36.4,duclaan01
119,Robby Fabbri,28,DET,C,48,16,10,26,-6,24,2.8,12,4,0,3,6,4,0,69,23.2,623,12:58,22,36,37,36,50.7,fabbrro01
120,Tyson Foerster,22,PHI,RW,58,16,12,28,8,24,3.2,12,4,0,1,9,3,0,131,12.2,996,17:11,40,66,0,1,0.0,foersty01
121,Trent Frederic,25,BOS,C,64,16,19,35,11,52,3.8,15,1,0,0,19,0,0,96,16.7,884,13:49,40,150,102,122,45.5,fredetr01
122,Anders Lee,33,NYI,LW,61,16,10,26,1,37,2.5,12,4,0,2,10,0,0,143,11.2,961,15:45,41,133,9,14,39.1,leean01
123,Dawson Mercer,22,NJD,C,62,16,11,27,-20,10,1.8,13,3,0,1,10,1,0,105,15.2,1064,17:10,38,21,117,135,46.4,merceda01
124,Joshua Norris,24,OTT,C,50,16,14,30,-6,22,2.7,11,5,0,3,6,7,1,115,13.9,882,17:38,30,86,328,301,52.1,norrijo01
125,Ryan Nugent-Hopkins,30,EDM,C,59,16,39,55,8,28,5.1,13,3,0,3,19,17,3,131,12.2,1171,19:51,25,37,203,226,47.3,nugenry01
126,Daniel Sprong,26,DET,RW,62,16,23,39,0,22,4.0,13,3,0,1,14,9,0,146,11.0,777,12:32,12,26,8,4,66.7,spronda01
127,Mark Stone,31,VEG,RW,56,16,37,53,1,22,4.9,10,4,2,5,25,10,2,117,13.7,1087,19:24,40,34,0,4,0.0,stonema01
128,Gabriel Vilardi,24,WPG,C,38,16,14,30,12,10,3.8,10,6,0,5,9,5,0,93,17.2,644,16:57,20,10,26,31,45.6,vilarga01
129,Dmitri Voronkov,23,CBJ,LW,56,16,14,30,6,48,3.4,11,5,0,1,13,1,0,103,15.5,743,13:16,39,61,206,271,43.2,vorondi01
130,Fabian Zetterlund,24,SJS,W,61,16,12,28,-18,27,2.1,12,3,1,0,7,5,0,144,11.1,1145,18:46,54,93,16,30,34.8,zettefa01
131,Aleksander Barkov,28,FLA,C,57,15,47,62,24,20,6.7,12,3,0,2,23,22,2,155,9.7,1111,19:29,44,78,487,361,57.4,barkoal01
132,Evan Bouchard,24,EDM,D,60,15,45,60,19,24,9.4,9,6,0,6,25,20,0,157,9.6,1370,22:50,84,54,0,0,,bouchev01
133,J.T. Compher,28,DET,LW,57,15,21,36,2,30,3.2,9,4,2,0,18,3,0,76,19.7,1102,19:20,35,34,320,426,42.9,comphj.01
134,Rasmus Dahlin,23,BUF,D,62,15,31,46,-9,38,6.9,10,5,0,2,18,13,0,186,8.1,1601,25:49,123,143,0,0,,dahlira01
135,Nick Foligno,36,CHI,LW,56,15,14,29,-19,49,2.5,8,6,1,0,9,5,0,114,13.2,994,17:45,31,149,142,137,50.9,foligni01
136,Ryan Hartman,29,MIN,RW,57,15,18,33,0,40,3.1,11,4,0,0,15,3,0,123,12.2,923,16:11,40,58,276,319,46.4,hartmry01
137,Tomáš Hertl,30,SJS,C,48,15,19,34,-26,22,2.5,9,5,1,1,15,4,0,113,13.3,1003,20:54,46,48,506,392,56.3,hertlto01
138,Roman Josi,33,NSH,D,63,15,46,61,9,33,9.2,8,7,0,3,28,17,1,199,7.5,1548,24:34,109,39,0,0,,josiro01
139,Colton Sissons,30,NSH,C,63,15,17,32,0,26,2.7,9,3,3,2,12,4,1,110,13.6,1068,16:57,49,112,475,447,51.5,sissoco01
140,Eeli Tolvanen,24,SEA,RW,62,15,18,33,-5,16,3.0,14,1,0,2,11,7,0,128,11.7,970,15:38,62,159,10,17,37.0,tolvaee01
141,MacKenzie Weegar,30,CGY,D,61,15,19,34,6,43,6.2,14,1,0,2,10,7,2,154,9.7,1360,22:17,143,134,0,0,,weegama01
142,Pavel Zacha,26,BOS,C,60,15,24,39,9,16,3.7,11,4,0,4,17,7,0,114,13.2,1088,18:08,26,77,440,371,54.3,zachapa01
143,Ivan Barbashev,28,VEG,C,62,14,21,35,15,40,3.7,11,3,0,2,20,1,0,87,16.1,974,15:42,30,125,32,35,47.8,barbaiv01
144,Sam Bennett,27,FLA,C,51,14,16,30,13,83,3.5,9,5,0,2,10,6,0,126,11.1,857,16:48,33,120,298,348,46.1,bennesa01
145,Nick Bjugstad,31,ARI,C,62,14,18,32,5,42,3.0,11,2,1,1,15,3,0,133,10.5,1081,17:27,43,102,509,521,49.4,bjugsni01
146,Dylan Cozens,22,BUF,C,60,14,24,38,-7,31,3.3,10,2,2,1,16,8,0,151,9.3,1013,16:53,24,80,390,437,47.2,cozendy01
147,Phillip Danault,30,LAK,C,61,14,23,37,10,12,3.7,11,3,0,1,18,3,2,130,10.8,1100,18:02,50,62,462,455,50.4,danauph01
148,Jake DeBrusk,27,BOS,LW,62,14,15,29,10,12,2.7,10,2,2,2,9,6,0,140,10.0,1043,16:50,39,80,6,14,30.0,debruja01
149,Drew Doughty,34,LAK,D,61,14,24,38,10,38,7.7,8,6,0,3,13,11,0,106,13.2,1584,25:58,113,83,0,0,,doughdr01
150,Jordan Eberle,33,SEA,RW,58,14,23,37,10,13,3.9,9,5,0,3,18,5,0,130,10.8,992,17:06,16,20,24,34,41.4,eberljo01
151,Morgan Geekie,25,BOS,C,58,14,17,31,7,22,3.1,11,3,0,0,12,5,0,98,14.3,895,15:25,43,91,221,297,42.7,geekimo01
152,Thomas Harley,22,DAL,D,61,14,21,35,17,12,6.5,12,1,1,3,16,5,0,117,12.0,1266,20:46,107,46,0,0,,harleth01
153,Timo Meier,27,NJD,RW,49,14,15,29,-24,20,2.0,11,3,0,2,11,4,0,136,10.3,824,16:49,28,72,40,35,53.3,meierti01
154,Casey Mittelstadt,25,BUF,C,62,14,33,47,12,28,4.7,12,2,0,1,27,6,0,102,13.7,1133,18:16,23,14,426,478,47.1,mitteca01
155,Cole Perfetti,22,WPG,C,60,14,17,31,9,10,3.3,9,5,0,2,11,6,0,125,11.2,836,13:56,21,22,38,63,37.6,perfeco01
156,Chandler Stephenson,29,VEG,C,58,14,24,38,-9,23,2.9,9,3,2,4,17,6,1,86,16.3,1083,18:40,30,34,452,414,52.2,stephch02
157,Tim Stützle,22,OTT,LW,60,14,42,56,-7,22,4.3,14,0,0,2,30,12,0,152,9.2,1266,21:06,32,82,200,236,45.9,stuetti02
158,Cam Atkinson,34,PHI,RW,60,13,15,28,-21,20,1.8,11,2,0,3,11,4,0,167,7.8,1008,16:48,34,23,11,12,47.8,atkinca01
159,Mikael Backlund,34,CGY,C,61,13,19,32,9,20,2.7,11,1,1,2,17,1,1,168,7.7,1176,19:16,25,55,564,550,50.6,backlmi01
160,Michael Bunting,28,CAR,LW,60,13,23,36,-15,55,2.8,7,6,0,1,13,10,0,113,11.5,907,15:07,15,25,6,16,27.3,buntimi01
161,Anthony Cirelli,26,TBL,C,62,13,20,33,-7,34,2.4,10,3,0,0,18,2,0,106,12.3,1152,18:35,60,51,359,377,48.8,cirelan01
162,Ross Colton,27,COL,C,62,13,20,33,-1,59,2.8,10,3,0,1,18,2,0,118,11.0,877,14:09,37,112,345,333,50.9,coltoro01
163,Pierre-Luc Dubois,25,LAK,LW,61,13,14,27,-18,46,1.8,8,5,0,3,13,1,0,112,11.6,962,15:46,27,73,316,327,49.1,duboipi01
164,Warren Foegele,27,EDM,LW,60,13,18,31,2,34,2.8,12,1,0,1,17,0,1,141,9.2,832,13:52,26,67,5,6,45.5,foegewa01
165,Simon Holmström,22,NYI,RW,60,13,8,21,1,12,2.0,8,0,5,1,6,0,2,55,23.6,798,13:18,36,11,6,12,33.3,holmssi01
166,Alexander Holtz,22,NJD,RW,62,13,11,24,-10,12,2.1,12,1,0,2,10,1,0,103,12.6,718,11:35,12,32,0,11,0.0,holtzal01
167,Ryan Johansen,31,COL,C,63,13,10,23,-6,34,1.7,9,4,0,4,7,2,1,78,16.7,860,13:39,15,60,431,380,53.1,johanry01
168,Dakota Joshua,27,VAN,C,53,13,13,26,16,46,2.9,13,0,0,4,13,0,0,69,18.8,744,14:03,34,195,29,33,46.8,joshuda01
169,Patrick Kane,35,DET,RW,31,13,18,31,-2,4,3.3,11,2,0,4,11,7,0,91,14.3,554,17:53,9,5,0,0,,kanepa01
170,Andrei Kuzmenko,27,TOT,F,53,13,14,27,-4,8,2.3,8,5,0,3,10,4,0,83,15.7,756,14:15,13,9,1,0,100.0,kuzmean01
171,Elias Lindholm,29,TOT,C,64,13,25,38,-13,25,2.3,7,5,1,4,18,6,1,154,8.4,1294,20:13,50,72,664,522,56.0,lindhel01
172,Stefan Noesen,30,CAR,RW,60,13,18,31,12,24,3.6,10,3,0,2,13,5,0,78,16.7,708,11:48,18,82,27,48,36.0,noesest01
